id,unit,number,street,city,district,region,postcode,hash
,,"2580",OAKLAND PARK,VILLAGE OF WEEDSPORT,,,,1177b477ca67d9b8
,REAR,"8924",N SENECA ST,VILLAGE OF WEEDSPORT,,,,a752681e58569710
,,"8922",JACKSON ST,VILLAGE OF WEEDSPORT,,,,d42dddf7eb7c68f9
,,"8912",OAKLAND ST,VILLAGE OF WEEDSPORT,,,,b9b736f9cdb37124
,,"8921",N WILLOW ST,VILLAGE OF WEEDSPORT,,,,f2cd3615963840c0
,,"8921",N SENECA ST,VILLAGE OF WEEDSPORT,,,,ffa121c2df46dc12
,,"2667",ERIE DR,VILLAGE OF WEEDSPORT,,,,20bb6c3d6925db6e
,,"8919",JACKSON ST,VILLAGE OF WEEDSPORT,,,,e4739ed9efbcd971
,,"8908",OAKLAND ST,VILLAGE OF WEEDSPORT,,,,ad87480cb53fe8c8
,,"8917",N SENECA ST,VILLAGE OF WEEDSPORT,,,,2d2529e71dc02497
,,"8917",N WILLOW ST,VILLAGE OF WEEDSPORT,,,,3f8e4d7ee3e2928e
,,"8909",OAKLAND ST,VILLAGE OF WEEDSPORT,,,,54bca9991ee2136f
,,"8914",N WILLOW ST,VILLAGE OF WEEDSPORT,,,,e84be7e189d0eb6d
,,"8914",N SENECA ST,VILLAGE OF WEEDSPORT,,,,b0c0b8e97798e621
,,"8914",JACKSON ST,VILLAGE OF WEEDSPORT,,,,602bc0c90f788a93
,,"2675",W BRUTUS ST,VILLAGE OF WEEDSPORT,,,,7d946f3908c4b8ec
,,"2687",E BRUTUS ST,VILLAGE OF WEEDSPORT,,,,f796bc99dc1ec557
,,"8911",N WILLOW ST,VILLAGE OF WEEDSPORT,,,,45a9fdc598aa8d6a
,,"8915",N SENECA ST,VILLAGE OF WEEDSPORT,,,,3f8c7a0aea415cf6
,,"8906",OAKLAND ST,VILLAGE OF WEEDSPORT,,,,8dec7493d3342255
,,"8905",OAKLAND ST,VILLAGE OF WEEDSPORT,,,,22b4441a40a93dea
,,"8913",JACKSON ST,VILLAGE OF WEEDSPORT,,,,97060012ec5c89d7
,,"8910",N WILLOW ST,VILLAGE OF WEEDSPORT,,,,f69b107e0af29027
,,"2693",E BRUTUS ST,VILLAGE OF WEEDSPORT,,,,9cc670a1f571b49d
,,"2573",OAKLAND PARK,VILLAGE OF WEEDSPORT,,,,c50e166a5646984a
,"2","2697",E BRUTUS ST,VILLAGE OF WEEDSPORT,,,,a6539eff4c3fed0e
,,"2674",W BRUTUS ST,VILLAGE OF WEEDSPORT,,,,d4f3f058db278e90
,,"2701",E BRUTUS ST,VILLAGE OF WEEDSPORT,,,,b837c704a30f8a87
,,"2670",W BRUTUS ST,VILLAGE OF WEEDSPORT,,,,48c853b845cb1d37
,,"8909",N WILLOW ST,VILLAGE OF WEEDSPORT,,,,fd4fdc03cc308ede
,,"2666",W BRUTUS ST,VILLAGE OF WEEDSPORT,,,,40b5da7e1f9cb1da
,,"2662",W BRUTUS ST,VILLAGE OF WEEDSPORT,,,,030f31fec226d327
,,"2705",E BRUTUS ST,VILLAGE OF WEEDSPORT,,,,974c3dc7dd95e26e
,,"2652",W BRUTUS ST,VILLAGE OF WEEDSPORT,,,,1c9a946dc53dad27
,,"2656",W BRUTUS ST,VILLAGE OF WEEDSPORT,,,,b48b03dda749565c
,,"2572",OAKLAND PARK,VILLAGE OF WEEDSPORT,,,,2f67d42afe3a199a
,,"2613",W BRUTUS ST,VILLAGE OF WEEDSPORT,,,,b4449aaa44c44016
,,"2646",W BRUTUS ST,VILLAGE OF WEEDSPORT,,,,999cdd3ade426f51
,,"2709",E BRUTUS ST,VILLAGE OF WEEDSPORT,,,,e4d6b86c86008e44
,,"2642",W BRUTUS ST,VILLAGE OF WEEDSPORT,,,,88c1ad6de1d7aab0
,,"8906",S SENECA ST,VILLAGE OF WEEDSPORT,,,,6a48fd2e3048295f
,,"8903",OAKLAND ST,VILLAGE OF WEEDSPORT,,,,da5b349ea6b08e72
,,"2684",E BRUTUS ST,VILLAGE OF WEEDSPORT,,,,7fa8cfd7f2d20844
,,"2713",E BRUTUS ST,VILLAGE OF WEEDSPORT,,,,d2589d8e7d3ff7c6
,,"2688",E BRUTUS ST,VILLAGE OF WEEDSPORT,,,,6c6f95e1bba5898a
,"203","2717",E BRUTUS ST,VILLAGE OF WEEDSPORT,,,,b0c540488e819ecb
,,"8906",S SENECA ST,VILLAGE OF WEEDSPORT,,,,e29b564278fc7b2a
,,"2624",W BRUTUS ST,VILLAGE OF WEEDSPORT,,,,e811cd4ef84e6e1c
,,"8909",S SENECA ST,VILLAGE OF WEEDSPORT,,,,1e61f60b80c579b2
,,"2719",E BRUTUS ST,VILLAGE OF WEEDSPORT,,,,4cfd7b049843be15
,,"8905",N WILLOW ST,VILLAGE OF WEEDSPORT,,,,59d42aa74d9958ca
,,"2569",OAKLAND PARK,VILLAGE OF WEEDSPORT,,,,d5b54b7178888ead
,,"2700",E BRUTUS ST,VILLAGE OF WEEDSPORT,,,,6dec4136cb4533cb
,,"8906",N WILLOW ST,VILLAGE OF WEEDSPORT,,,,bb67829cc84a15b8
,,"2658",ERIE DR,VILLAGE OF WEEDSPORT,,,,2416e1c5eb2e2799
,,"2620",W BRUTUS ST,VILLAGE OF WEEDSPORT,,,,59aa1f320c6c7ae3
,,"2630",W BRUTUS ST,VILLAGE OF WEEDSPORT,,,,3907c33de6922474
,,"2640",W BRUTUS ST,VILLAGE OF WEEDSPORT,,,,f0bf463022bebc0a
,,"8909",JACKSON ST,VILLAGE OF WEEDSPORT,,,,dfdb34ef9f48b434
,,"2605",W BRUTUS ST,VILLAGE OF WEEDSPORT,,,,bdffc444c57f8c1b
,,"2731",E BRUTUS ST,VILLAGE OF WEEDSPORT,,,,0527c93b4e132ec0
,,"8905",S SENECA ST,VILLAGE OF WEEDSPORT,,,,463ca89db4461de4
,,"2570",OAKLAND PARK,VILLAGE OF WEEDSPORT,,,,90849cba8293aa7b
,,"8903",N WILLOW ST,VILLAGE OF WEEDSPORT,,,,346a478c8e5e86d3
,,"2710",E BRUTUS ST,VILLAGE OF WEEDSPORT,,,,2bc27804fcba9307
,,"2614",W BRUTUS ST,VILLAGE OF WEEDSPORT,,,,86a1825bbee272ca
,,"2737",E BRUTUS ST,VILLAGE OF WEEDSPORT,,,,4fe09f0e7e3db59e
,,"2603",W BRUTUS ST,VILLAGE OF WEEDSPORT,,,,9bc4222a8f7bca96
,,"8904",N WILLOW ST,VILLAGE OF WEEDSPORT,,,,e81d077b6831b4ba
,,"2661",CANAL ST,VILLAGE OF WEEDSPORT,,,,d8fe67642ce09052
